DATE,IPGMFSQ
1972-01-01,36.9485
1972-04-01,37.7099
1972-07-01,38.2297
1972-10-01,39.7015
1973-01-01,41.0017
1973-04-01,41.3912
1973-07-01,41.7250
1973-10-01,42.5223
1974-01-01,42.1502
1974-04-01,42.0947
1974-07-01,41.9371
1974-10-01,40.0807
1975-01-01,36.7453
1975-04-01,36.0946
1975-07-01,37.2770
1975-10-01,38.2790
1976-01-01,39.6070
1976-04-01,40.2515
1976-07-01,40.8315
1976-10-01,41.4428
1977-01-01,42.5282
1977-04-01,43.9944
1977-07-01,44.5268
1977-10-01,44.9617
1978-01-01,45.0166
1978-04-01,46.5878
1978-07-01,47.1205
1978-10-01,48.1394
1979-01-01,48.3138
1979-04-01,48.1736
1979-07-01,48.0711
1979-10-01,48.0794
1980-01-01,48.1837
1980-04-01,45.6716
1980-07-01,44.6633
1980-10-01,46.7568
1981-01-01,46.8601
1981-04-01,47.1844
1981-07-01,47.1414
1981-10-01,45.8909
1982-01-01,44.7458
1982-04-01,44.5079
1982-07-01,44.0713
1982-10-01,43.0791
1983-01-01,44.0560
1983-04-01,45.3651
1983-07-01,47.0575
1983-10-01,48.5139
1984-01-01,50.0160
1984-04-01,50.7715
1984-07-01,51.2068
1984-10-01,51.5159
1985-01-01,51.4926
1985-04-01,51.5755
1985-07-01,51.5958
1985-10-01,51.9295
1986-01-01,52.5457
1986-04-01,52.4243
1986-07-01,52.7545
1986-10-01,53.4206
1987-01-01,54.1840
1987-04-01,55.0974
1987-07-01,56.1264
1987-10-01,57.7430
1988-01-01,58.1561
1988-04-01,58.8398
1988-07-01,58.9915
1988-10-01,59.6510
1989-01-01,59.9806
1989-04-01,59.5567
1989-07-01,59.1001
1989-10-01,59.1791
1990-01-01,59.7966
1990-04-01,60.2763
1990-07-01,60.4611
1990-10-01,59.4316
1991-01-01,58.0706
1991-04-01,58.3846
1991-07-01,59.4757
1991-10-01,59.7439
1992-01-01,59.8934
1992-04-01,61.1436
1992-07-01,61.8097
1992-10-01,62.3444
1993-01-01,63.0198
1993-04-01,63.2550
1993-07-01,63.4280
1993-10-01,64.5718
1994-01-01,65.3990
1994-04-01,66.9824
1994-07-01,68.0483
1994-10-01,69.7911
1995-01-01,70.5525
1995-04-01,70.7033
1995-07-01,71.2847
1995-10-01,72.1338
1996-01-01,72.5374
1996-04-01,74.3345
1996-07-01,75.7864
1996-10-01,76.8876
1997-01-01,78.6054
1997-04-01,79.9326
1997-07-01,81.9423
1997-10-01,84.2278
1998-01-01,85.5438
1998-04-01,85.9343
1998-07-01,86.6081
1998-10-01,88.3446
1999-01-01,89.5189
1999-04-01,90.5585
1999-07-01,91.2652
1999-10-01,93.1669
2000-01-01,94.3021
2000-04-01,95.5255
2000-07-01,95.4750
2000-10-01,95.0101
2001-01-01,93.6509
2001-04-01,92.3807
2001-07-01,90.9208
2001-10-01,90.0763
2002-01-01,90.9934
2002-04-01,92.4543
2002-07-01,93.2003
2002-10-01,93.1440
2003-01-01,93.6382
2003-04-01,93.1862
2003-07-01,93.8960
2003-10-01,94.9865
2004-01-01,95.6127
2004-04-01,96.3589
2004-07-01,97.2730
2004-10-01,98.7685
2005-01-01,100.4329
2005-04-01,101.0276
2005-07-01,100.8571
2005-10-01,102.5154
2006-01-01,103.4865
2006-04-01,103.7061
2006-07-01,104.1633
2006-10-01,104.6566
2007-01-01,105.8001
2007-04-01,107.4390
2007-07-01,107.8373
2007-10-01,108.2659
2008-01-01,107.6023
2008-04-01,105.3991
2008-07-01,101.4137
2008-10-01,95.3064
2009-01-01,88.8772
2009-04-01,86.5258
2009-07-01,88.3773
2009-10-01,89.9568
2010-01-01,91.6820
2010-04-01,94.1601
2010-07-01,95.2189
2010-10-01,95.5403
2011-01-01,96.3785
2011-04-01,96.4123
2011-07-01,97.5140
2011-10-01,98.4433
2012-01-01,99.7778
2012-04-01,100.0587
2012-07-01,99.9109
2012-10-01,100.2526
2013-01-01,101.0414
2013-04-01,101.0382
2013-07-01,100.9239
2013-10-01,101.4049
2014-01-01,101.1873
2014-04-01,102.3115
2014-07-01,102.7988
2014-10-01,103.0350
2015-01-01,102.2990
2015-04-01,101.9587
2015-07-01,101.9882
2015-10-01,101.2975
2016-01-01,101.2587
2016-04-01,100.6688
2016-07-01,100.9886
2016-10-01,101.6111
2017-01-01,102.3560
2017-04-01,103.2588
2017-07-01,102.8797
2017-10-01,104.3178
2018-01-01,104.8130
2018-04-01,105.5011
2018-07-01,106.5515
2018-10-01,106.9706
2019-01-01,106.5002
2019-04-01,105.6799
2019-07-01,105.9805
